"","Ctrl","OTA","MCPD","TCP"
"ENSRNOG00000034234",15.9588107129527,15.9911139769496,16.016267085567,16.5219989283707
"ENSRNOG00000031979",15.7191827904333,15.7424632973642,15.7142624653411,16.0550095650671
"ENSRNOG00000030700",15.7401579986828,15.6501225731691,15.53384623055,15.3105536718269
"ENSRNOG00000030371",15.2992526716397,15.2520732461833,15.0209574539843,15.936071276265
"ENSRNOG00000031766",14.9119922230313,14.7317130794705,14.8576889905222,14.4896141569213
"ENSRNOG00000030644",14.2800808769778,14.2534345905369,14.0260209151601,14.4765594059616
"ENSRNOG00000031033",14.1040060289194,14.0728868840137,13.9097223311968,14.6808858945851
"ENSRNOG00000033615",13.5176459493135,13.5386789770929,13.3457443780778,13.8437546656227
"ENSRNOG00000005858",14.0908138120724,12.3433068936605,13.8271560770454,13.2684959225522
"ENSRNOG00000031053",13.0534249483086,12.6162287603682,12.9649858640836,13.4539314335333
"ENSRNOG00000052564",12.9664218075102,12.4526357198784,13.651596166223,12.6696427614659
"ENSRNOG00000020843",12.6973414382292,12.7981848309826,13.3663903905012,12.0059058154279
"ENSRNOG00000029042",12.3717111884134,12.152406808957,11.9580251050752,12.9852470603947
"ENSRNOG00000016469",12.734096172437,12.6482834615162,12.6182763503281,10.2699781122647
"ENSRNOG00000029971",12.2254703812895,11.9018085396139,12.0262580214737,12.798841159247
"ENSRNOG00000030154",12.7468414633678,11.0742215311193,12.6741020907694,12.0293502414831
"ENSRNOG00000006302",12.5304345946417,10.6372778306618,12.3792722718354,12.4836302362911
"ENSRNOG00000001159",13.0306726873686,10.9664492820752,12.8942022443785,9.45816357472586
"ENSRNOG00000009439",12.0031035138973,11.8028484441945,11.8639101257954,12.3632744855899
"ENSRNOG00000006807",12.1462880064455,11.9943839399652,12.1593308865552,11.5375846931972
"ENSRNOG00000015557",11.6600757981081,12.9082779299823,11.3633822029256,11.0629467947387
"ENSRNOG00000019470",11.7557788830859,11.0389047455028,11.7147101591555,12.3810753590588
"ENSRNOG00000024903",11.9761566851105,9.88240974950374,11.6422824188141,12.4346951408788
"ENSRNOG00000002840",11.6538560729964,12.1854162541502,11.8102829993979,11.4305369336423
"ENSRNOG00000007006",12.0402938102437,10.7273195705746,11.8171961140216,11.3055556598423
"ENSRNOG00000029145",10.4664599027635,11.1190158076796,9.90775726353418,12.7717606248063
"ENSRNOG00000029886",11.9047783756549,11.730667204695,11.5105194306378,10.5188093944252
"ENSRNOG00000058105",11.2202083365973,11.40876992144,11.2596436862069,11.8316699827337
"ENSRNOG00000017899",11.2534029617407,10.460819056988,11.8088768592963,11.7909202467781
